id,title,authors,abstract,year,category,venue,citations
108,An Assistive Wearables Tool for Augmented Reality Accessibility,"J. Landay, P. Baudisch, A. Dey","This work presents a comprehensive study of wearables and augmented reality in the context of augmented reality. We evaluate different architectures and identify key bottlenecks associated with wearables. Based on these findings, we design an adaptive protocol, MetaChain, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2025,HCI,CSCW,214
12,Zero-Knowledge Proofs for Privacy-Preserving Blockchain Transactions,"M. Naor, L. Adleman","We introduce a novel protocol for privacy-preserving transactions in decentralized blockchain databases using zero-knowledge succinct non-interactive arguments of knowledge (zk-SNARKs). Our system hides the transaction sender, recipient, and amounts while guaranteeing consistency.",2020,Cybersecurity,NDSS,360
122,Designing Collaborative Tools Interfaces for Accessibility,"P. Baudisch, D. Norman, B. Shneiderman","Recent advancements in collaborative tools have enabled significant breakthroughs in collaborative tools and accessibility. However, existing solutions suffer from high overhead and poor scalability when applied to accessibility. To overcome these limitations, we introduce VeloGate, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2025,HCI,UIST,191
131,Software-defined Routing Protocol Solutions for Sdn,"S. Shenker, T. Anderson, D. Estrin","How can we scale routing protocol and SDN to meet the demands of modern workloads? We argue that standard methods focusing on routing protocol are insufficient due to physical constraints. We propose SecureTrust, which distributes computation using SDN. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2026,Networks & IoT,SIGCOMM,56
39,Evaluating Neural Network Architectures on Explainable Ai Tasks,"G. Hinton, A. Ng","Recent advancements in neural network have enabled significant breakthroughs in neural network and explainable AI. However, existing solutions suffer from high overhead and poor scalability when applied to explainable AI. To overcome these limitations, we introduce NeuroScale, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2021,AI/ML,NeurIPS,25
10,Federated Learning for Privacy-Preserving Collaborative Machine Learning,"J. Smith, K. He","Modern mobile devices have access to a wealth of data suitable for training machine learning models. We introduce a federated learning framework where mobile clients collaboratively train a shared global model while keeping all the training data local, mitigating privacy risks.",2021,AI/ML,KDD,372
117,Designing Collaborative Tools Interfaces for Haptics,"J. Landay, D. Norman","In this paper, we address the challenge of collaborative tools and haptics. We propose a new system called MetaGate that leverages collaborative tools to improve efficiency and performance. Our framework optimizes haptics in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 51% improvement in speed and accuracy.",2023,HCI,DIS,285
28,Designing Explanations for User Trust in Interactive AI Systems,"J. Landay, S. Klemmer","Explainable AI systems often focus on technical descriptions that confuse non-expert users. We design and evaluate three explanation modalities (textual, visual, and example-based) to understand how different interface designs impact user trust and reliance on AI recommendations.",2025,HCI,CHI,372
133,Securing Edge Computing Communications in Smart 5G,"I. Akyildiz, T. Anderson","This work presents a comprehensive study of edge computing and 5G in the context of 5G. We evaluate different architectures and identify key bottlenecks associated with edge computing. Based on these findings, we design an adaptive protocol, ParaDB, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2024,Networks & IoT,SIGCOMM,125
21,In Search of an Understandable Consensus Algorithm (Raft),"M. Stonebraker, D. DeWitt","Raft is a consensus algorithm for managing a replicated log. It produces a result equivalent to Paxos and is equally efficient, but its structure is different from Paxos; this makes Raft more understandable than Paxos and provides a better foundation for building practical systems.",2018,Data Engineering,EDBT,328
103,An Assistive Augmented Reality Tool for Wearables Accessibility,"S. Klemmer, H. Ishii","This work presents a comprehensive study of augmented reality and wearables in the context of wearables. We evaluate different architectures and identify key bottlenecks associated with augmented reality. Based on these findings, we design an adaptive protocol, NeuroGlove, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2018,HCI,DIS,280
33,Software-Defined Networking (SDN) for Dynamic Traffic Engineering,"S. Shenker, H. Balakrishnan","Traditional IP routing struggles to adapt to rapid network traffic fluctuations. We present a Software-Defined Networking framework that uses centralized controller policies to dynamically re-route traffic, optimizing link utilization and preventing packet loss.",2021,Networks & IoT,IEEE IoT-J,224
70,The Role of Malware in Decentralized Ransomware,"E. Shi, V. Shmatikov, M. Naor","This work presents a comprehensive study of malware and ransomware in the context of ransomware. We evaluate different architectures and identify key bottlenecks associated with malware. Based on these findings, we design an adaptive protocol, FlexNet, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2018,Cybersecurity,S&P (Oakland),31
29,Haptic Feedback Interfaces for Virtual Reality Text Entry,"A. Dey, J. Landay","Text entry in virtual reality is historically slow and error-prone due to the lack of tactile feedback. We propose a wearable haptic ring that provides precise vibrotactile impulses to simulate physical keypresses, resulting in a 25% increase in typing speed.",2018,HCI,CSCW,447
62,The Role of Ransomware in Decentralized Federated Privacy,"M. Naor, R. Rivest, V. Shmatikov","We investigate the integration of ransomware and federated privacy to solve ransomware and federated privacy. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, SecureFlow, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2019,Cybersecurity,S&P (Oakland),213
119,Designing Wearables Interfaces for Haptics,"E. Horvitz, H. Ishii, B. Shneiderman","How can we scale wearables and haptics to meet the demands of modern workloads? We argue that standard methods focusing on wearables are insufficient due to physical constraints. We propose HyperLink, which distributes computation using haptics. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2019,HCI,CHI,46
105,Empirical Study of User Experience in Virtual Collaborative Tools,"S. Klemmer, D. Norman, P. Baudisch","We investigate the integration of user experience and collaborative tools to solve user experience and collaborative tools. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, SecureFlow, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2019,HCI,CSCW,296
100,Optimizing Queries in Partitioning Databases for Olap,"H. Garcia-Molina, J. Gray","How can we scale partitioning and OLAP to meet the demands of modern workloads? We argue that standard methods focusing on partitioning are insufficient due to physical constraints. We propose FlexNet, which distributes computation using OLAP. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2022,Data Engineering,VLDB,243
110,Co-designing Accessibility with Users for Eye Tracking Applications,"H. Ishii, D. Norman, P. Baudisch","We investigate the integration of accessibility and eye tracking to solve accessibility and eye tracking. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, MetaNet, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2019,HCI,TOCHI,305
68,Enhancing Blockchain Protocols Against Side-Channel Attacks,"B. Parno, V. Shmatikov, D. Song","In this paper, we address the challenge of blockchain and side-channel. We propose a new system called HyperGlove that leverages blockchain to improve efficiency and performance. Our framework optimizes side-channel in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 18% improvement in speed and accuracy.",2026,Cybersecurity,IEEE TIFS,336
144,Performance Analysis of Lorawan Protocols in Routing Protocol Networks,"J. Rexford, D. Estrin","In this paper, we address the challenge of loRaWAN and routing protocol. We propose a new system called MetaGlove that leverages loRaWAN to improve efficiency and performance. Our framework optimizes routing protocol in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 42% improvement in speed and accuracy.",2026,Networks & IoT,ACM CoNEXT,8
22,Vector Databases for Efficient Semantic Search at Scale,"J. Gray, M. Zaharia","The explosion of deep learning representations has made semantic vector search a core database requirement. We describe the design of a vector database optimized for indexing high-dimensional embeddings, comparing Hierarchical Navigable Small World (HNSW) graphs with inverted file index (IVF) structures.",2025,Data Engineering,SIGMOD,64
134,Software-defined Sdn Solutions for Coap,"D. Clark, D. Estrin, I. Akyildiz","Recent advancements in SDN have enabled significant breakthroughs in SDN and coap. However, existing solutions suffer from high overhead and poor scalability when applied to coap. To overcome these limitations, we introduce FlexGate, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2018,Networks & IoT,ACM CoNEXT,246
3,Generative Adversarial Nets for Unsupervised Representation Learning,"F. Li, G. Hinton","We propose a new framework for estimating generative models via an adversarial process, in which we simultaneously train two models: a generative model that captures the data distribution, and a discriminative model that estimates the probability that a sample came from the training data rather than the generator.",2023,AI/ML,CVPR,372
64,A Cryptography Framework for Secure Smart Contracts,"S. Goldwasser, B. Parno","We investigate the integration of cryptography and smart contracts to solve cryptography and smart contracts. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, ParaLink, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2026,Cybersecurity,USENIX Security,58
135,Optimizing Vehicular Network Routing in IoT-based Smart Home,"D. Estrin, V. Bahl, S. Shenker","This work presents a comprehensive study of vehicular network and smart home in the context of smart home. We evaluate different architectures and identify key bottlenecks associated with vehicular network. Based on these findings, we design an adaptive protocol, MetaChain, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2025,Networks & IoT,ACM CoNEXT,107
42,Beyond Deep Learning: Self-supervised Zero-Shot Learning Paradigms,"Y. LeCun, Y. Bengio","This work presents a comprehensive study of deep learning and zero-shot learning in the context of zero-shot learning. We evaluate different architectures and identify key bottlenecks associated with deep learning. Based on these findings, we design an adaptive protocol, SecureScale, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2025,AI/ML,KDD,261
47,Exploring the Limits of Large Language Model in Transformer,"Y. Bengio, A. Ng","How can we scale large language model and transformer to meet the demands of modern workloads? We argue that standard methods focusing on large language model are insufficient due to physical constraints. We propose FlexGate, which distributes computation using transformer. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2021,AI/ML,KDD,11
101,Scaling Stream Processing for Large-scale Distributed Database,"M. Stonebraker, D. DeWitt","This work presents a comprehensive study of stream processing and distributed database in the context of distributed database. We evaluate different architectures and identify key bottlenecks associated with stream processing. Based on these findings, we design an adaptive protocol, SecureGate, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2018,Data Engineering,TODS,147
34,Dynamic Network Slicing in 5G Cellular Infrastructures,"T. Anderson, M. Ammar","5G networks must support diverse applications from autonomous driving to massive IoT sensors. We propose a dynamic network slicing algorithm that partitions physical radio resources into isolated virtual slices, satisfying distinct quality-of-service (QoS) guarantees.",2025,Networks & IoT,MobiCom,17
17,Deep Learning for Network Intrusion Detection in IoT Systems,"V. Shmatikov, L. Adleman","Internet of Things (IoT) devices are vulnerable to distributed denial-of-service (DDoS) attacks. We evaluate a deep learning framework based on Bidirectional LSTM networks for real-time network intrusion detection, achieving high accuracy in classifying malicious traffic.",2022,Cybersecurity,CCS,26
43,Beyond Zero-Shot Learning: Self-supervised Fine-Tuning Paradigms,"A. Ng, D. Silver","In this paper, we address the challenge of zero-shot learning and fine-tuning. We propose a new system called MetaScale that leverages zero-shot learning to improve efficiency and performance. Our framework optimizes fine-tuning in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 34% improvement in speed and accuracy.",2018,AI/ML,ICML,328
82,Optimizing Queries in Data Lake Databases for Raft Consensus,"S. Ghemawat, H. Garcia-Molina","In this paper, we address the challenge of data lake and Raft consensus. We propose a new system called NeuroSense that leverages data lake to improve efficiency and performance. Our framework optimizes Raft consensus in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 49% improvement in speed and accuracy.",2022,Data Engineering,ICDE,224
53,An Efficient Approach to Graph Neural Network with Neural Network,"G. Hinton, F. Li, D. Silver","Recent advancements in graph neural network have enabled significant breakthroughs in graph neural network and neural network. However, existing solutions suffer from high overhead and poor scalability when applied to neural network. To overcome these limitations, we introduce DeepGlove, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2018,AI/ML,KDD,5
49,An Efficient Approach to Contrastive Learning with Fine-Tuning,"D. Silver, A. Ng","We investigate the integration of contrastive learning and fine-tuning to solve contrastive learning and fine-tuning. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, NeuroLink, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2023,AI/ML,KDD,131
150,Securing Routing Protocol Communications in Smart Lorawan,"S. Shenker, H. Balakrishnan","We investigate the integration of routing protocol and loRaWAN to solve routing protocol and loRaWAN. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, MetaLink, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2019,Networks & IoT,INFOCOM,343
149,An Adaptive 5G Slicing Model for Cellular Coap,"V. Bahl, S. Shenker, T. Anderson","We investigate the integration of 5G and coap to solve 5G and coap. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, VeloGate, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2020,Networks & IoT,MobiCom,106
59,Detecting Smart Contracts Anomalies in Ransomware,"L. Adleman, E. Shi","Recent advancements in smart contracts have enabled significant breakthroughs in smart contracts and ransomware. However, existing solutions suffer from high overhead and poor scalability when applied to ransomware. To overcome these limitations, we introduce DeepLink, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2020,Cybersecurity,S&P (Oakland),249
104,Designing User Experience Interfaces for Collaborative Tools,"B. Shneiderman, J. Landay, P. Baudisch","How can we scale user experience and collaborative tools to meet the demands of modern workloads? We argue that standard methods focusing on user experience are insufficient due to physical constraints. We propose MetaGlove, which distributes computation using collaborative tools. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2026,HCI,CSCW,218
41,Evaluating Contrastive Learning Architectures on Deep Learning Tasks,"A. Vaswani, G. Hinton","This work presents a comprehensive study of contrastive learning and deep learning in the context of deep learning. We evaluate different architectures and identify key bottlenecks associated with contrastive learning. Based on these findings, we design an adaptive protocol, DeepDB, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2022,AI/ML,AAAI,16
78,Detecting Adversarial Attacks Anomalies in Zero Trust,"L. Adleman, R. Anderson","In this paper, we address the challenge of adversarial attacks and zero trust. We propose a new system called FlexTrust that leverages adversarial attacks to improve efficiency and performance. Our framework optimizes zero trust in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 49% improvement in speed and accuracy.",2021,Cybersecurity,NDSS,147
6,Contrastive Representation Learning for Visual Feature Representation,"I. Sutskever, D. Silver",This paper presents a simple framework for contrastive learning of visual representations. We simplify recently proposed contrastive self-supervised learning algorithms without requiring specialized architectures or a memory bank. We show that contrastive prediction tasks learn high-quality representations.,2024,AI/ML,AAAI,216
67,Enhancing Cryptography Protocols Against Vulnerability Attacks,"M. Naor, R. Rivest, R. Anderson","We investigate the integration of cryptography and vulnerability to solve cryptography and vulnerability. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, DeepTrust, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2020,Cybersecurity,NDSS,196
1,Attention Is All You Need for Sequence Modeling,"Y. LeCun, F. Li","We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely. Experiments on two machine translation tasks show these models to be superior in quality while being more parallelizable and requiring significantly less time to train.",2018,AI/ML,AAAI,259
56,An Efficient Approach to Zero-Shot Learning with Computer Vision,"K. He, Y. LeCun","How can we scale zero-shot learning and computer vision to meet the demands of modern workloads? We argue that standard methods focusing on zero-shot learning are insufficient due to physical constraints. We propose FlexChain, which distributes computation using computer vision. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2024,AI/ML,ICML,344
145,Performance Analysis of Sdn Protocols in Mqtt Networks,"D. Estrin, M. Ammar, T. Anderson","Recent advancements in SDN have enabled significant breakthroughs in SDN and mqtt. However, existing solutions suffer from high overhead and poor scalability when applied to mqtt. To overcome these limitations, we introduce SecureChain, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2021,Networks & IoT,ACM CoNEXT,33
140,Software-defined Lorawan Solutions for 6G,"D. Clark, J. Rexford, D. Estrin","Recent advancements in loRaWAN have enabled significant breakthroughs in loRaWAN and 6G. However, existing solutions suffer from high overhead and poor scalability when applied to 6G. To overcome these limitations, we introduce SecureDB, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2024,Networks & IoT,ACM CoNEXT,226
102,Data Lake Architectures: A Survey of Stream Processing Systems,"M. Zaharia, A. Halevy","Recent advancements in data lake have enabled significant breakthroughs in data lake and stream processing. However, existing solutions suffer from high overhead and poor scalability when applied to stream processing. To overcome these limitations, we introduce VeloNet, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2022,Data Engineering,ICDE,74
76,Analyzing the Security of Intrusion Detection in Adversarial Attacks Applications,"M. Naor, S. Goldwasser","How can we scale intrusion detection and adversarial attacks to meet the demands of modern workloads? We argue that standard methods focusing on intrusion detection are insufficient due to physical constraints. We propose HyperGate, which distributes computation using adversarial attacks. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2019,Cybersecurity,NDSS,232
126,Designing Voice Assistant Interfaces for Augmented Reality,"M. Bernstein, J. Landay, P. Baudisch","This work presents a comprehensive study of voice assistant and augmented reality in the context of augmented reality. We evaluate different architectures and identify key bottlenecks associated with voice assistant. Based on these findings, we design an adaptive protocol, VeloLink, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2026,HCI,TOCHI,329
112,Evaluating Haptic Haptics for User Experience Control,"J. Landay, D. Norman, H. Ishii","This work presents a comprehensive study of haptics and user experience in the context of user experience. We evaluate different architectures and identify key bottlenecks associated with haptics. Based on these findings, we design an adaptive protocol, SecureTrust, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2023,HCI,DIS,339
37,CoAP and MQTT: Protocol Performance Comparison in Constrained IoT Environments,"J. Rexford, D. Estrin","We compare the performance of constrained application protocol (CoAP) over UDP against message queuing telemetry transport (MQTT) over TCP in lossy wireless sensor networks. We measure network overhead, battery consumption, and latency across varying loss rates.",2024,Networks & IoT,IEEE IoT-J,262
48,Evaluating Computer Vision Architectures on Large Language Model Tasks,"Y. Bengio, J. Smith","This work presents a comprehensive study of computer vision and large language model in the context of large language model. We evaluate different architectures and identify key bottlenecks associated with computer vision. Based on these findings, we design an adaptive protocol, SmartChain, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2023,AI/ML,CVPR,316
52,Evaluating Computer Vision Architectures on Graph Neural Network Tasks,"G. Hinton, Y. Bengio","Recent advancements in computer vision have enabled significant breakthroughs in computer vision and graph neural network. However, existing solutions suffer from high overhead and poor scalability when applied to graph neural network. To overcome these limitations, we introduce HyperTrust, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2021,AI/ML,AAAI,36
96,Optimizing Queries in Data Lake Databases for Olap,"J. Gray, J. Dean, A. Halevy","How can we scale data lake and OLAP to meet the demands of modern workloads? We argue that standard methods focusing on data lake are insufficient due to physical constraints. We propose HyperLink, which distributes computation using OLAP. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2020,Data Engineering,EDBT,290
31,Collaborative Virtual Environments for Team Brainstorming,"E. Horvitz, P. Baudisch",We evaluate collaborative virtual environments (CVE) against physical workspaces for creative brainstorming tasks. Our results indicate that avatar customization and shared spatial whiteboard tools enhance social presence and encourage contribution from remote team members.,2022,HCI,TOCHI,349
44,A Novel Transformer Model for Contrastive Learning,"G. Hinton, Y. Bengio","Recent advancements in transformer have enabled significant breakthroughs in transformer and contrastive learning. However, existing solutions suffer from high overhead and poor scalability when applied to contrastive learning. To overcome these limitations, we introduce DeepSense, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2019,AI/ML,AAAI,162
11,Bitcoin: A Peer-to-Peer Electronic Cash System,"V. Shmatikov, M. Naor","A purely peer-to-peer version of electronic cash would allow online payments to be sent directly from one party to another without going through a financial institution. Digital signatures provide part of the solution, but the main benefits are lost if a trusted third party is still required to prevent double-spending.",2022,Cybersecurity,S&P (Oakland),114
4,Explainable AI: Interpreting Deep Neural Networks via Layer-wise Relevance Propagation,"D. Silver, A. Ng","Deep neural networks have achieved state-of-the-art performance in various tasks, but they operate as black boxes. We propose layer-wise relevance propagation (LRP) to visualize and explain the classification decisions of deep networks by distributing the prediction score back through the network layers.",2024,AI/ML,ACL,46
137,Performance Analysis of Sensor Networks Protocols in Vehicular Network Networks,"D. Clark, H. Balakrishnan","In this paper, we address the challenge of sensor networks and vehicular network. We propose a new system called DeepTrust that leverages sensor networks to improve efficiency and performance. Our framework optimizes vehicular network in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 58% improvement in speed and accuracy.",2024,Networks & IoT,ACM CoNEXT,250
38,Exploring the Limits of Explainable Ai in Reinforcement Learning,"I. Sutskever, Y. LeCun, F. Li","Recent advancements in explainable AI have enabled significant breakthroughs in explainable AI and reinforcement learning. However, existing solutions suffer from high overhead and poor scalability when applied to reinforcement learning. To overcome these limitations, we introduce SecureFlow, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2025,AI/ML,KDD,14
136,Optimizing Routing Protocol Routing in IoT-based Sensor Networks,"I. Akyildiz, D. Estrin, S. Shenker","This work presents a comprehensive study of routing protocol and sensor networks in the context of sensor networks. We evaluate different architectures and identify key bottlenecks associated with routing protocol. Based on these findings, we design an adaptive protocol, DeepDB, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2018,Networks & IoT,SIGCOMM,229
92,A Highly Available Vector Database System for Graph Database,"S. Ghemawat, A. Halevy, J. Dean","This work presents a comprehensive study of vector database and graph database in the context of graph database. We evaluate different architectures and identify key bottlenecks associated with vector database. Based on these findings, we design an adaptive protocol, HyperScale, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2021,Data Engineering,TODS,306
125,Evaluating Haptic Gesture Ui for Collaborative Tools Control,"M. Bernstein, E. Horvitz, J. Landay","How can we scale gesture UI and collaborative tools to meet the demands of modern workloads? We argue that standard methods focusing on gesture UI are insufficient due to physical constraints. We propose ApexScale, which distributes computation using collaborative tools. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2021,HCI,CHI,289
74,Analyzing the Security of Federated Privacy in Zero Trust Applications,"R. Rivest, B. Parno","How can we scale federated privacy and zero trust to meet the demands of modern workloads? We argue that standard methods focusing on federated privacy are insufficient due to physical constraints. We propose ApexTrust, which distributes computation using zero trust. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2026,Cybersecurity,NDSS,321
128,Securing Routing Protocol Communications in Smart Sensor Networks,"J. Rexford, D. Estrin, V. Bahl","We investigate the integration of routing protocol and sensor networks to solve routing protocol and sensor networks. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, ParaChain, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2018,Networks & IoT,MobiCom,217
16,Smart Contract Vulnerability Detection via Symbolic Execution,"R. Rivest, V. Shmatikov",Decentralized applications built on smart contracts are susceptible to reentrancy and integer overflow attacks. We propose a symbolic execution framework that automatically analyzes Ethereum smart contract bytecode to identify common security vulnerabilities.,2023,Cybersecurity,IEEE TIFS,111
85,Efficient Indexing of Graph Database in Distributed Nosql,"H. Garcia-Molina, J. Hellerstein","How can we scale graph database and NoSQL to meet the demands of modern workloads? We argue that standard methods focusing on graph database are insufficient due to physical constraints. We propose DeepSense, which distributes computation using NoSQL. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2025,Data Engineering,TODS,200
124,Empirical Study of User Experience in Virtual Eye Tracking,"M. Bernstein, A. Dey, J. Landay","How can we scale user experience and eye tracking to meet the demands of modern workloads? We argue that standard methods focusing on user experience are insufficient due to physical constraints. We propose FlexFlow, which distributes computation using eye tracking. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2023,HCI,DIS,57
13,Adversarial Malware Detection: Circumventing Machine Learning Classifiers,"L. Adleman, M. Naor","Machine learning classifiers are increasingly used for malware detection. In this paper, we present adversarial attack techniques that can modify Windows PE malware files to bypass state-of-the-art classifiers without altering the binary's original functionality or payload.",2018,Cybersecurity,NDSS,157
19,MapReduce: Simplified Data Processing on Large Clusters,"J. Dean, A. Halevy","MapReduce is a programming model and an associated implementation for processing and generating large data sets. Users specify a map function that processes a key/value pair to generate a set of intermediate key/value pairs, and a reduce function that merges all intermediate values associated with the same key.",2019,Data Engineering,ICDE,308
113,Empirical Study of Eye Tracking in Virtual Collaborative Tools,"S. Klemmer, B. Shneiderman","Recent advancements in eye tracking have enabled significant breakthroughs in eye tracking and collaborative tools. However, existing solutions suffer from high overhead and poor scalability when applied to collaborative tools. To overcome these limitations, we introduce ApexScale, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2026,HCI,CHI,245
30,Voice Assistants and Accessibility: Designing for Users with Speech Impairments,"H. Ishii, M. Bernstein","Commercial voice assistants fail to recognize dysarthric or non-standard speech. We design a user-centered customization interface that allows users with speech impairments to train custom acoustic triggers, improving command recognition rates and autonomy.",2021,HCI,UIST,175
80,Efficient Indexing of Stream Processing in Distributed Distributed Database,"J. Hellerstein, A. Halevy, M. Zaharia","This work presents a comprehensive study of stream processing and distributed database in the context of distributed database. We evaluate different architectures and identify key bottlenecks associated with stream processing. Based on these findings, we design an adaptive protocol, ParaFlow, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2025,Data Engineering,TODS,175
130,Performance Analysis of Vehicular Network Protocols in 5G Networks,"I. Akyildiz, D. Estrin, V. Bahl","We investigate the integration of vehicular network and 5G to solve vehicular network and 5G. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, HyperNet, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2018,Networks & IoT,MobiCom,287
18,Analyzing Ransomware Behavior and Detection via API Call Auditing,"M. Naor, B. Parno",Ransomware represents a severe threat to data integrity. We analyze the behavior of recent ransomware families and propose a dynamic detection mechanism based on real-time API call auditing and file system activity profiling to stop encryption processes early.,2021,Cybersecurity,USENIX Security,391
